,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
2 Jan 2017,2238.83,42.738,28.955,50.83,37.494,69.12,41.46,1147.5,53.72,2.4443,1.1883
3 Jan 2017,2257.83,43.398,29.038,51.98,37.683,68.66,41.8,1158.84,52.33,2.4444,1.2141
4 Jan 2017,2270.75,45.398,29.005,53.07,37.859,69.06,41.65,1163.65,53.26,2.439,1.214
5 Jan 2017,2269,45.35,29.153,53.06,39.023,69.21,41.75,1180.12,53.76,2.3443,1.1621
6 Jan 2017,2276.98,45.802,29.478,53.91,39.8,68.26,41.74,1172.63,53.99,2.4193,1.2098
9 Jan 2017,2268.9,46.256,29.748,53.38,39.846,68.71,41.32,1181.1,51.96,2.3647,1.1816
10 Jan 2017,2268.9,45.974,29.778,53.11,39.795,68.23,41.04,1187.88,50.82,2.3757,1.1856
11 Jan 2017,2275.32,45.946,29.938,52.69,39.951,68.53,41.05,1191.62,52.25,2.3721,1.1855
12 Jan 2017,2270.44,45.918,29.813,52.4,40.682,67.97,40.95,1195.43,53.01,2.3631,1.1733
13 Jan 2017,2274.64,47.55,29.76,52.92,40.857,67.13,40.88,1197.34,52.37,2.3964,1.1931
16 Jan 2017,2274.64,47.55,29.76,52.92,40.857,67.13,40.88,1202.73,52.37,2.3964,1.1931
17 Jan 2017,2267.89,47.116,30,53.65,40.486,68.42,41.22,1217.07,52.48,2.3253,1.1524
18 Jan 2017,2271.89,47.672,29.998,53.27,40.374,68.11,41.29,1204.3,51.08,2.4296,1.2214
19 Jan 2017,2263.69,48.752,29.945,52.93,40.452,67.62,41.14,1204.85,51.37,2.4739,1.2214
20 Jan 2017,2271.31,48.946,30,53.2,40.417,67.18,41.32,1210.32,52.42,2.4668,1.1885
23 Jan 2017,2265.2,49.784,30.02,53.24,40.894,66.65,41.43,1218.23,52.75,2.3971,1.1434
24 Jan 2017,2280.07,50.922,29.993,53.45,41.122,67.4,41.9,1208.94,53.18,2.4652,1.1924
25 Jan 2017,2298.37,50.894,30.47,53.86,41.826,66.89,42.12,1200.69,52.75,2.5116,1.2341
26 Jan 2017,2296.68,50.502,30.485,53.65,41.957,66.73,41.81,1188.5,53.78,2.5043,1.2242
27 Jan 2017,2294.69,50.59,30.488,53.19,41.789,65.66,41.45,1191.2,53.17,2.4843,1.2182
30 Jan 2017,2280.9,50.126,30.408,53.08,41.519,66.42,41.38,1195.7,52.63,2.4881,1.2122
31 Jan 2017,2278.87,50.386,30.338,52.9,41.174,66.74,41.57,1210.72,52.81,2.4531,1.2044
1 Feb 2017,2279.55,49.848,32.188,53.02,41.618,66.23,41.26,1209.84,53.88,2.4699,1.2125
2 Feb 2017,2280.85,50.31,32.133,52.8,41.998,66.7,41.4,1215.96,53.54,2.4737,1.2046
3 Feb 2017,2297.42,50.266,32.27,52.36,40.51,66.5,41.54,1220.3,53.83,2.4648,1.1969
6 Feb 2017,2292.56,51.554,32.572,52.8,40.382,66.4,41.56,1235.53,53.01,2.4077,1.149
7 Feb 2017,2293.08,51.496,32.883,52.81,40.625,66.89,41.9,1233.85,52.17,2.3931,1.165
8 Feb 2017,2294.67,52.416,33.01,53.88,40.986,67.81,42.02,1241.53,52.34,2.3363,1.141
9 Feb 2017,2307.87,53.84,33.105,55.31,41.068,69.08,41.25,1228.36,53,2.3948,1.1772
10 Feb 2017,2316.1,53.846,33.03,56.22,41.373,68.02,40.58,1233.62,53.86,2.4073,1.1895
13 Feb 2017,2328.25,56.12,33.323,56.09,41.826,67.77,40.62,1225.26,52.93,2.4358,1.2017
14 Feb 2017,2337.58,56.196,33.755,56.45,41.82,68.66,40.53,1228.13,53.2,2.4698,1.2343
15 Feb 2017,2349.25,55.952,33.878,56.64,42.135,68.69,40.44,1233.7,53.11,2.4932,1.2466
16 Feb 2017,2347.22,53.79,33.836,56.29,42.207,68.87,41.2,1239.04,53.36,2.4467,1.2021
17 Feb 2017,2351.16,54.446,33.93,56.75,42.254,69.37,41.23,1234.6,53.4,2.4147,1.1882
20 Feb 2017,2351.16,54.446,33.93,56.75,42.254,69.37,41.23,1238.47,53.4,2.4147,1.1882
21 Feb 2017,2365.38,55.478,34.175,57.36,42.822,71.45,41.46,1235.74,54.06,2.429,1.2067
22 Feb 2017,2362.82,54.702,34.278,58.24,42.781,71.71,41.6,1237.44,53.59,2.4129,1.2162
23 Feb 2017,2363.81,51.198,34.133,57.39,42.61,71.31,41.66,1249.56,54.45,2.372,1.1825
24 Feb 2017,2367.34,51.4,34.165,57.86,42.262,72.39,41.78,1257.19,53.99,2.3117,1.1428
27 Feb 2017,2369.75,49.246,34.233,57.69,42.432,71.74,41.67,1252.73,54.05,2.365,1.1944
28 Feb 2017,2363.64,49.998,34.248,57.16,42.252,70.93,41.96,1248.44,54.01,2.3899,1.2601
1 Mar 2017,2395.96,50.004,34.948,57.95,42.654,70.45,42.16,1249.69,53.83,2.4526,1.2842
2 Mar 2017,2381.92,50.096,34.74,57.8,42.445,70.76,42.47,1234.25,52.61,2.4779,1.3084
3 Mar 2017,2383.12,50.314,34.945,56.7,42.494,70.03,42.48,1234.81,53.33,2.478,1.3051
6 Mar 2017,2375.31,50.242,34.835,56.77,42.331,69.88,42.18,1225.29,53.2,2.4997,1.3053
7 Mar 2017,2368.39,49.718,34.88,56.55,42.301,69.87,41.99,1215.86,53.14,2.5179,1.3277
8 Mar 2017,2362.98,49.374,34.75,56.51,42.525,69.8,41.99,1208.31,50.28,2.5597,1.3542
9 Mar 2017,2364.87,48.98,34.67,56.36,42.65,69.86,42.03,1201.24,49.28,2.6053,1.3726
10 Mar 2017,2372.6,48.738,34.785,56.43,42.623,70.1,42.29,1204.64,48.49,2.5745,1.3534
13 Mar 2017,2373.47,49.234,34.8,56.67,42.73,69.95,42.03,1204.3,48.4,2.6258,1.3719
14 Mar 2017,2365.45,51.6,34.748,57.28,42.627,70.72,41.97,1199.12,47.72,2.6002,1.3763
15 Mar 2017,2385.26,51.146,35.115,57.66,42.649,70.58,42.12,1219.88,48.86,2.493,1.2994
16 Mar 2017,2381.38,52.41,35.173,57.6,42.671,70.44,42.25,1226.61,48.75,2.5402,1.3322
17 Mar 2017,2378.25,52.3,34.998,57.8,42.616,69.89,42.03,1229.26,48.78,2.5005,1.3146
20 Mar 2017,2373.47,52.384,35.365,58.68,42.849,69.98,42.18,1234.24,48.22,2.4607,1.2883
21 Mar 2017,2344.02,50.136,34.96,58.01,42.16,69.9,42.5,1244.81,47.34,2.4175,1.2598
22 Mar 2017,2348.45,51.002,35.355,53.92,42.403,70.25,42.38,1248.84,48.04,2.405,1.2477
23 Mar 2017,2345.96,50.956,35.23,55.37,42.369,69.86,42.17,1245.2,47.7,2.4194,1.252
24 Mar 2017,2343.98,52.632,35.16,56.36,42.281,69.61,42.12,1243.57,47.97,2.4123,1.2566
27 Mar 2017,2341.59,54.044,35.22,55.93,42.341,69.66,42.32,1254.86,47.73,2.3782,1.2527
28 Mar 2017,2358.57,55.49,35.95,56.62,42.8,70.32,42.43,1251.82,48.37,2.4178,1.3016
